Fecha,Ejercicio,Serie,Repeticiones,Peso (kg)
2026-02-02,"Press Plano Mancuernas",1,12,7.5
2026-02-02,"Press Plano Mancuernas",2,8,10
2026-02-02,"Press Plano Mancuernas",3,8,15
2026-02-02,"Press Plano Mancuernas",4,6,17.5
2026-02-02,"Press Inclinado Mancuernas",1,6,15
2026-02-02,"Press Inclinado Mancuernas",2,6,15
2026-02-02,"Press Inclinado Mancuernas",3,6,15
2026-02-04,"Prensa Inclinada 45°",1,8,130
2026-02-04,"Prensa Inclinada 45°",2,8,150
2026-02-04,"Prensa Inclinada 45°",3,8,190
2026-02-04,"Prensa Inclinada 45°",4,8,210
2026-02-04,"Sillón Isquiotibiales",1,8,80
2026-02-04,"Sillón Isquiotibiales",2,8,80
2026-02-04,"Sillón Isquiotibiales",3,8,80
2026-02-04,"Sillón Isquiotibiales",4,8,80
2026-02-04,"Gemelos en Prensa",1,15,20
2026-02-04,"Gemelos en Prensa",2,15,20
2026-02-04,"Gemelos en Prensa",3,15,20
2026-02-04,"Gemelos en Prensa",4,15,20
2026-02-06,"Jalón al Pecho",1,6,120
2026-02-06,"Jalón al Pecho",2,6,140
2026-02-06,"Jalón al Pecho",3,7,120
2026-02-06,"Jalón al Pecho",4,6,120
2026-02-06,"Remo Serrucho",1,6,20
2026-02-06,"Remo Serrucho",2,6,20
2026-02-06,"Remo Serrucho",3,6,17.5
2026-02-06,"Remo Serrucho",4,6,17.5
2026-02-06,"Press Militar SENTADO",1,6,10
2026-02-06,"Press Militar SENTADO",2,6,10
2026-02-06,"Press Militar SENTADO",3,7,10
2026-02-06,"Press Militar SENTADO",4,8,10
2026-02-06,"Vuelos Laterales",1,6,10
2026-02-06,"Vuelos Laterales",2,6,10
2026-02-06,"Vuelos Laterales",3,6,10
2026-02-06,"Vuelos Laterales",4,6,10
2026-02-06,"Vuelos Posteriores (Pájaros)",1,8,7.5
2026-02-06,"Vuelos Posteriores (Pájaros)",2,8,10
2026-02-06,"Vuelos Posteriores (Pájaros)",3,7,12.5
2026-02-09,"Press Plano Mancuernas",1,6,17.5
2026-02-09,"Press Plano Mancuernas",2,6,17.5
2026-02-09,"Press Plano Mancuernas",3,6,20
2026-02-09,"Press Plano Mancuernas",4,5,20
2026-02-09,"Press Inclinado Mancuernas",1,4,20
2026-02-09,"Press Inclinado Mancuernas",2,4,17.5
2026-02-09,"Press Inclinado Mancuernas",3,4,17.5
2026-02-09,"Aperturas (Flyes) Plano",1,8,10
2026-02-09,"Aperturas (Flyes) Plano",2,6,12.5
2026-02-09,"Aperturas (Flyes) Plano",3,6,12.5
2026-02-09,"Press Francés Mancuernas",1,4,10
2026-02-09,"Press Francés Mancuernas",2,6,7.5
2026-02-09,"Press Francés Mancuernas",3,5,7.5
2026-02-09,"Copa a Dos Manos Sentado",1,8,10
2026-02-09,"Copa a Dos Manos Sentado",2,8,12.5
2026-02-09,"Copa a Dos Manos Sentado",3,8,15
2026-02-09,"Curl Bíceps Sentado",1,8,10
2026-02-09,"Curl Bíceps Sentado",2,8,12.5
2026-02-09,"Curl Bíceps Sentado",3,8,12.5
2026-02-09,"Curl Martillo",1,6,12.5
2026-02-09,"Curl Martillo",2,6,12.5
2026-02-09,"Curl Martillo",3,6,15
